name,servings,difficulty,steps,seeAlso
Tomato Soup,6,HARD,Serve the mixture:15|Serve the rice:2|Serve the onions:30|Bake the sauce:8,Goulash|Dumplings|Porridge
Pancakes,6,EASY,Whisk the mixture:20|Toast the onions:2|Fry the onions:10|Chop the dough:30,Apple Pie|Minestrone|Pho
Omelette,8,HARD,Simmer the onions:5|Blend the sauce:10|Boil the meat:10|Stir the meat:15|Rest the meat:8,Pancakes|Miso Soup
Caesar Salad,2,EASY,Toast the vegetables:2|Toast the sauce:10|Bake the base:2|Blend the rice:2,Lentil Stew|Potato Gratin
Garlic Bread,8,HARD,Stir the meat:2|Chop the onions:20|Toast the vegetables:10|Rest the sauce:0|Bake the onions:2,
Lentil Stew,6,MEDIUM,Whisk the meat:10|Serve the dough:5|Toast the onions:15,Quiche|Chili
Risotto,4,MEDIUM,Rest the meat:2|Serve the dough:20|Boil the sauce:10|Stir the dough:10|Rest the vegetables:0|Stir the vegetables:0,Ramen|Chili|Caesar Salad
Guacamole,4,HARD,Boil the vegetables:10|Toast the rice:0|Serve the onions:0|Season the dough:30|Bake the vegetables:5,Hummus|Chicken Curry
Fried Rice,8,MEDIUM,Bake the meat:2|Chop the mixture:10|Rest the sauce:10|Whisk the vegetables:5|Boil the meat:2,
Chili,4,HARD,Boil the sauce:30|Fry the base:15|Toast the sauce:30|Bake the sauce:2|Chop the sauce:15,Miso Soup
Banana Bread,6,EASY,Serve the vegetables:5|Stir the dough:10|Blend the vegetables:20,Potato Gratin|Pho
French Toast,8,EASY,Fry the sauce:0|Blend the meat:8|Chop the rice:10|Rest the vegetables:8|Simmer the dough:2|Whisk the onions:0,Apple Pie
Hummus,8,EASY,Blend the base:5|Rest the dough:8|Boil the onions:20,
Ratatouille,4,HARD,Fry the dough:30|Chop the vegetables:8|Whisk the base:2|Fry the sauce:10|Fry the onions:30,Caesar Salad|Miso Soup|Shakshuka
Carbonara,4,MEDIUM,Chop the rice:15|Chop the onions:5|Chop the base:0|Simmer the rice:0|Toast the base:30|Season the mixture:15,
Pesto Pasta,8,MEDIUM,Serve the dough:15|Bake the sauce:15|Stir the base:5|Rest the onions:20|Simmer the mixture:0|Season the rice:20,
Shakshuka,6,EASY,Season the rice:15|Stir the meat:30|Chop the sauce:8,Ramen|Garlic Bread
Falafel,8,EASY,Fry the onions:15|Season the dough:2|Blend the base:20|Boil the base:15|Serve the base:0|Blend the mixture:8,Omelette|Paella|Lentil Stew
Miso Soup,1,EASY,Fry the onions:15|Simmer the onions:2|Boil the rice:10|Serve the dough:2|Chop the sauce:2|Rest the base:0,Pho|French Toast
Greek Salad,2,MEDIUM,Boil the sauce:30|Serve the meat:10|Season the meat:15|Rest the meat:2,Tabbouleh|Pesto Pasta|Potato Gratin
Beef Tacos,8,HARD,Fry the meat:5|Fry the base:30|Toast the rice:30|Serve the mixture:5|Bake the sauce:5|Serve the vegetables:8,Potato Gratin|Tiramisu
Chicken Curry,8,HARD,Whisk the dough:0|Bake the rice:20|Whisk the mixture:15|Whisk the vegetables:30|Fry the meat:30,Granola
Pad Thai,2,EASY,Blend the base:20|Toast the onions:30|Whisk the sauce:2,Shakshuka
Bruschetta,4,MEDIUM,Fry the mixture:0|Bake the mixture:0|Season the mixture:20|Simmer the base:2|Simmer the dough:10,
Quiche,1,MEDIUM,Chop the onions:15|Season the meat:20|Blend the base:8|Boil the rice:20|Fry the vegetables:2,Garlic Bread|Apple Pie
Gazpacho,4,HARD,Simmer the vegetables:15|Blend the dough:10|Simmer the vegetables:2|Boil the rice:15|Chop the dough:5,French Toast
Minestrone,4,MEDIUM,Simmer the base:5|Season the meat:10|Boil the mixture:30|Blend the dough:5|Toast the base:2|Toast the mixture:20,Risotto|Falafel
Potato Gratin,4,MEDIUM,Fry the onions:30|Rest the dough:8|Toast the vegetables:15,Brownies|Goulash|Garlic Bread
Apple Pie,2,MEDIUM,Fry the dough:2|Boil the base:2|Fry the sauce:20,Fried Rice|Ramen|Tiramisu
Brownies,4,HARD,Rest the mixture:5|Whisk the dough:15|Bake the onions:30|Stir the meat:15,Smoothie Bowl|Paella
Granola,1,HARD,Chop the sauce:0|Simmer the sauce:30|Fry the rice:8|Whisk the sauce:0|Rest the rice:2|Serve the dough:5,Brownies
Porridge,2,EASY,Chop the vegetables:8|Rest the base:30|Rest the onions:15,Chicken Curry|Pad Thai
Smoothie Bowl,6,EASY,Toast the base:15|Whisk the base:8|Stir the sauce:30,Risotto|Omelette
Tabbouleh,6,MEDIUM,Toast the mixture:20|Blend the rice:2|Rest the meat:8|Boil the rice:10,
Paella,2,EASY,Blend the mixture:30|Chop the dough:15|Season the rice:15|Serve the meat:8|Chop the sauce:10|Season the mixture:30,Banana Bread
Goulash,6,MEDIUM,Serve the meat:5|Boil the onions:5|Simmer the mixture:30|Blend the mixture:0,
Dumplings,8,EASY,Stir the onions:0|Whisk the meat:0|Stir the rice:0|Whisk the sauce:2|Stir the rice:8,Chicken Curry
Pho,1,EASY,Simmer the onions:10|Bake the rice:10|Blend the sauce:10|Chop the vegetables:15|Season the base:0,Lentil Stew|Ramen|Tomato Soup
Ramen,1,MEDIUM,Chop the mixture:0|Blend the onions:8|Boil the vegetables:8,Chicken Curry|Granola|Pad Thai
Tiramisu,6,MEDIUM,Serve the meat:2|Bake the mixture:20|Simmer the meat:15|Rest the meat:5|Toast the meat:15,Bruschetta
